37.9833|23.7333|147.102.222.200|National Technical University of Athens|Greece|Athens,37.9833|23.7333|194.177.209.117|Greek Research and Technology Network S.A|Greece|Athens,37.9833|23.7333|195.251.27.54|Greek Research and Technology Network S.A|Greece|Athens,51.5|-0.13|62.40.124.89|DANTE Ltd|United Kingdom|,51.5|-0.13|62.40.112.165|DANTE Ltd|United Kingdom|,51.5|-0.13|62.40.98.43|DANTE Ltd|United Kingdom|,47.3333|13.3333|193.203.0.194|ACOnet Services @ Vienna Internet eXchange|Austria|,53|-8|31.13.29.210|Facebook Ireland Ltd|Ireland|,53|-8|31.13.28.25|Facebook Ireland Ltd|Ireland|,53|-8|31.13.30.92|Facebook Ireland Ltd|Ireland|,53|-8|31.13.25.71|Facebook Ireland Ltd|Ireland|,53|-8|31.13.24.80|Facebook Ireland Ltd|Ireland|,53|-8|31.13.27.73|Facebook Ireland Ltd|Ireland|,,,,,,
22.25|114.1667|210.0.250.1|Hutchison Global Communications|Hong Kong|,failed,"22.25|114.1667|202.40.161.110|Suite 1602, 16/F., Tower 2, Nina Tower|Hong Kong|",53|-8|31.13.28.116|Facebook Ireland Ltd|Ireland|,37.3762|-122.1826|204.15.21.186|Facebook|United States|Palo Alto,53|-8|31.13.24.28|Facebook Ireland Ltd|Ireland|,53|-8|31.13.27.76|Facebook Ireland Ltd|Ireland|,40.3756|-74.6597|173.252.110.27|Facebook|United States|Princeton,,,,,,,,,,,
47|20|193.225.14.253|NIIFI (Nemzeti Informacios Infrastruktura Fejleszt|Hungary|,47|20|195.111.96.57|NIIFI (Nemzeti Informacios Infrastruktura Fejleszt|Hungary|,51.5|-0.13|62.40.124.102|DANTE Ltd|United Kingdom|,51.5|-0.13|62.40.124.101|DANTE Ltd|United Kingdom|,51.5|-0.13|62.40.98.111|DANTE Ltd|United Kingdom|,51.5|-0.13|62.40.98.63|DANTE Ltd|United Kingdom|,47.3333|13.3333|193.203.0.194|ACOnet Services @ Vienna Internet eXchange|Austria|,53|-8|31.13.29.158|Facebook Ireland Ltd|Ireland|,53|-8|31.13.30.2|Facebook Ireland Ltd|Ireland|,53|-8|31.13.30.92|Facebook Ireland Ltd|Ireland|,53|-8|31.13.30.163|Facebook Ireland Ltd|Ireland|,53|-8|31.13.24.32|Facebook Ireland Ltd|Ireland|,53|-8|31.13.27.61|Facebook Ireland Ltd|Ireland|,40.3756|-74.6597|173.252.110.27|Facebook|United States|Princeton,,,,,
65|-18|130.208.16.13|SURIS/RHnet Iceland University Research Network|Iceland|,62|15|109.105.102.1|NORDUnet|Sweden|,62|15|109.105.97.41|NORDUnet|Sweden|,51.5142|-0.093099999999993|195.66.225.69|London Internet Exchange Ltd.|United Kingdom|London,53|-8|31.13.30.198|Facebook Ireland Ltd|Ireland|,53|-8|31.13.30.236|Facebook Ireland Ltd|Ireland|,53|-8|31.13.31.249|Facebook Ireland Ltd|Ireland|,53|-8|31.13.27.73|Facebook Ireland Ltd|Ireland|,40.3756|-74.6597|173.252.110.27|Facebook|United States|Princeton,,,,,,,,,,
28.6|77.2|203.110.87.17|delDSL Internet Pvt. Ltd.|India|New Delhi,28.6|77.2|203.110.80.9|delDSL Internet Pvt. Ltd.|India|New Delhi,20|77|115.113.254.77|TATA Communications|India|,failed,20|77|115.114.85.233|TATA Communications|India|,47|8|80.231.217.17|TATA Communications (Canada) Ltd.|Europe|,47|8|80.231.217.6|TATA Communications (Canada) Ltd.|Europe|,47|8|80.231.154.17|TATA Communications (Canada) Ltd.|Europe|,47|8|80.231.153.66|TATA Communications (Canada) Ltd.|Europe|,38|-97|4.69.168.62|Level 3 Communications|United States|,38|-97|4.69.161.93|Level 3 Communications|United States|,38|-97|4.69.137.62|Level 3 Communications|United States|,38|-97|4.69.134.150|Level 3 Communications|United States|,38|-97|4.69.149.82|Level 3 Communications|United States|,38|-97|4.53.116.78|Level 3 Communications|United States|,37.3762|-122.1826|204.15.20.54|Facebook|United States|Palo Alto,53|-8|31.13.24.80|Facebook Ireland Ltd|Ireland|,53|-8|31.13.27.57|Facebook Ireland Ltd|Ireland|,40.3756|-74.6597|173.252.110.27|Facebook|United States|Princeton
41.8745|-87.6503|208.100.4.50|Steadfast Networks|United States|Chicago,41.8745|-87.6503|208.100.32.32|Steadfast Networks|United States|Chicago,41.8745|-87.6503|216.86.149.53|Steadfast Networks|United States|Chicago,41.8745|-87.6503|216.86.149.53|Steadfast Networks|United States|Chicago,53|-8|31.13.29.2|Facebook Ireland Ltd|Ireland|,53|-8|31.13.27.150|Facebook Ireland Ltd|Ireland|,53|-8|31.13.27.120|Facebook Ireland Ltd|Ireland|,53|-8|31.13.27.61|Facebook Ireland Ltd|Ireland|,40.3756|-74.6597|173.252.110.27|Facebook|United States|Princeton,,,,,,,,,,
40.7214|-74.0052|69.162.170.3|Steadfast Networks|United States|New York,41.8745|-87.6503|67.202.117.61|Steadfast Networks|United States|Chicago,41.8745|-87.6503|67.202.117.25|Steadfast Networks|United States|Chicago,37.5331|-122.2471|198.32.118.27|Equinix|United States|Redwood City,53|-8|31.13.30.10|Facebook Ireland Ltd|Ireland|,37.3762|-122.1826|204.15.20.128|Facebook|United States|Palo Alto,53|-8|31.13.24.32|Facebook Ireland Ltd|Ireland|,53|-8|31.13.27.80|Facebook Ireland Ltd|Ireland|,40.3756|-74.6597|173.252.110.27|Facebook|United States|Princeton,,,,,,,,,,
34.3078|-118.4493|208.79.89.233|Arp Networks|United States|Sylmar,38|-97|206.223.143.161||United States|,53|-8|31.13.30.26|Facebook Ireland Ltd|Ireland|,53|-8|31.13.28.111|Facebook Ireland Ltd|Ireland|,53|-8|31.13.27.118|Facebook Ireland Ltd|Ireland|,53|-8|31.13.27.55|Facebook Ireland Ltd|Ireland|,40.3756|-74.6597|173.252.110.27|Facebook|United States|Princeton,,,,,,,,,,,,
42.3584|-71.0598|216.93.240.253|TowardEX Technologies International|United States|Boston,42.3584|-71.0598|216.93.255.197|TowardEX Technologies International|United States|Boston,38|-97|198.160.63.131|TOWARDEX Carrier Services IP TRANSIT BACKBONE|United States|,38|-97|198.160.63.137|TOWARDEX Carrier Services IP TRANSIT BACKBONE|United States|,42.3646|-71.1028|4.31.154.77|Level 3 Communications|United States|Cambridge,38|-97|4.69.140.90|Level 3 Communications|United States|,38|-97|4.69.140.98|Level 3 Communications|United States|,38|-97|4.69.201.42|Level 3 Communications|United States|,38|-97|4.69.202.53|Level 3 Communications|United States|,38|-97|4.69.134.158|Level 3 Communications|United States|,38|-97|4.69.149.18|Level 3 Communications|United States|,38|-97|4.53.116.78|Level 3 Communications|United States|,37.3762|-122.1826|74.119.77.146|Facebook|United States|Palo Alto,53|-8|31.13.24.24|Facebook Ireland Ltd|Ireland|,53|-8|31.13.27.73|Facebook Ireland Ltd|Ireland|,40.3756|-74.6597|173.252.110.27|Facebook|United States|Princeton,,,
36.1113|-115.2791|208.76.255.189|Colocation America Corporation|United States|Las Vegas,34.4065|-118.4015|208.64.231.81|Multacom Corporation|United States|Canyon Country,34.4065|-118.4015|208.64.231.6|Multacom Corporation|United States|Canyon Country,38|-97|206.223.143.161||United States|,53|-8|31.13.30.26|Facebook Ireland Ltd|Ireland|,53|-8|31.13.28.111|Facebook Ireland Ltd|Ireland|,53|-8|31.13.27.120|Facebook Ireland Ltd|Ireland|,53|-8|31.13.27.82|Facebook Ireland Ltd|Ireland|,40.3756|-74.6597|173.252.110.27|Facebook|United States|Princeton,,,,,,,,,,
